,Train Project,Test Project,Prediction Score
0,Core,MailNews Core,0.58
1,Core,SeaMonkey,0.65
2,Core,Bugzilla,0.57
3,Core,Firefox,0.89
4,Core,Other Applications,0.65
5,Core,NSS,0.35
6,Core,Calendar,0.62
7,Core,Thunderbird,0.63
8,Core,Marketing,0.49
9,Core,Toolkit,0.88
10,Core,NSPR,0.32
11,Core,mozilla.org,0.49
12,Core,Testing,0.53
13,Core,Firefox Build System,0.54
14,Core,Socorro,0.47
15,Core,DevTools,0.47
16,Core,developer.mozilla.org,0.44
17,Core,Participation Infrastructure,0.49
18,Core,www.mozilla.org,1.0
19,Core,Infrastructure & Operations,0.49
20,Core,Developer Engagement,1.0
21,Core,Enterprise Information Security,1.0
22,Core,Instantbird,0.29
23,Core,Chat Core,0.48
24,Core,Mozilla Foundation Communications,0.49
25,Core,Firefox for Android,0.46
26,Core,Tree Management,0.49
27,Core,Community Building,1.0
28,Core,support.mozilla.org,1.0
29,Core,bugzilla.mozilla.org,0.42
30,Core,Developer Documentation,0.49
31,Core,WebExtensions,0.47
32,Core,Localization Infrastructure and Tools,1.0
33,Core,Cloud Services,0.49
34,Core,Firefox for iOS,0.45
35,Core,Taskcluster,0.49
36,Core,GeckoView,1.0
37,Core,Release Engineering,0.49
38,Core,Data Platform and Tools,1.0
39,Core,Developer Services,0.5
40,Core,Focus-iOS,1.0
41,Core,Webtools,1.0
42,Core,External Software Affecting Firefox,1.0
43,Core,Conduit,0.49
44,Core,Data Science,1.0
45,Core,Shield,1.0
46,Core,Remote Protocol,0.5
47,Core,Testing Graveyard,0.0
48,Core,Camino Graveyard,0.0
49,Core,Core Graveyard,0.33
50,Core,Cloud Services Graveyard,1.0
51,Core,Firefox Graveyard,0.36
52,Core,Add-on SDK Graveyard,1.0
53,Core,Firefox for Android Graveyard,0.0
54,Core,Toolkit Graveyard,0.2
55,Core,Penelope Graveyard,0.0
56,Core,Web Compatibility,1.0
57,Core,Infrastructure & Operations Graveyard,1.0
58,Core,DevTools Graveyard,1.0
59,Core,Testopia,0.43
60,Core,Directory,0.39
61,MailNews Core,Core,0.45
62,MailNews Core,SeaMonkey,0.54
63,MailNews Core,Bugzilla,0.58
64,MailNews Core,Firefox,0.49
65,MailNews Core,Other Applications,0.42
66,MailNews Core,NSS,0.69
67,MailNews Core,Calendar,0.46
68,MailNews Core,Thunderbird,0.71
69,MailNews Core,Marketing,0.29
70,MailNews Core,Toolkit,0.32
71,MailNews Core,NSPR,0.47
72,MailNews Core,mozilla.org,0.23
73,MailNews Core,Testing,0.19
74,MailNews Core,Firefox Build System,0.09
75,MailNews Core,Socorro,0.07
76,MailNews Core,DevTools,0.07
77,MailNews Core,developer.mozilla.org,0.02
78,MailNews Core,Participation Infrastructure,0.09
79,MailNews Core,www.mozilla.org,0.0
80,MailNews Core,Infrastructure & Operations,0.08
81,MailNews Core,Developer Engagement,0.0
82,MailNews Core,Enterprise Information Security,0.0
83,MailNews Core,Instantbird,0.0
84,MailNews Core,Chat Core,0.03
85,MailNews Core,Mozilla Foundation Communications,0.0
86,MailNews Core,Firefox for Android,0.07
87,MailNews Core,Tree Management,0.26
88,MailNews Core,Community Building,0.0
89,MailNews Core,support.mozilla.org,0.0
90,MailNews Core,bugzilla.mozilla.org,0.11
91,MailNews Core,Developer Documentation,0.0
92,MailNews Core,WebExtensions,0.14
93,MailNews Core,Localization Infrastructure and Tools,0.0
94,MailNews Core,Cloud Services,0.09
95,MailNews Core,Firefox for iOS,0.04
96,MailNews Core,Taskcluster,0.11
97,MailNews Core,GeckoView,0.08
98,MailNews Core,Release Engineering,0.09
99,MailNews Core,Data Platform and Tools,0.19
100,MailNews Core,Developer Services,0.0
101,MailNews Core,Focus-iOS,0.0
102,MailNews Core,Webtools,0.29
103,MailNews Core,External Software Affecting Firefox,0.25
104,MailNews Core,Conduit,0.0
105,MailNews Core,Data Science,0.38
106,MailNews Core,Shield,0.0
107,MailNews Core,Remote Protocol,0.29
108,MailNews Core,Testing Graveyard,0.0
109,MailNews Core,Camino Graveyard,0.0
110,MailNews Core,Core Graveyard,0.0
111,MailNews Core,Cloud Services Graveyard,0.2
112,MailNews Core,Firefox Graveyard,0.42
113,MailNews Core,Add-on SDK Graveyard,0.0
114,MailNews Core,Firefox for Android Graveyard,0.0
115,MailNews Core,Toolkit Graveyard,0.0
116,MailNews Core,Penelope Graveyard,0.0
117,MailNews Core,Web Compatibility,0.0
118,MailNews Core,Infrastructure & Operations Graveyard,0.25
119,MailNews Core,DevTools Graveyard,0.0
120,MailNews Core,Testopia,1.0
121,MailNews Core,Directory,0.49
122,SeaMonkey,Core,0.59
123,SeaMonkey,MailNews Core,0.56
124,SeaMonkey,Bugzilla,0.59
125,SeaMonkey,Firefox,0.55
126,SeaMonkey,Other Applications,0.42
127,SeaMonkey,NSS,0.6
128,SeaMonkey,Calendar,0.6
129,SeaMonkey,Thunderbird,0.79
130,SeaMonkey,Marketing,0.41
131,SeaMonkey,Toolkit,0.39
132,SeaMonkey,NSPR,0.65
133,SeaMonkey,mozilla.org,0.22
134,SeaMonkey,Testing,0.25
135,SeaMonkey,Firefox Build System,0.23
136,SeaMonkey,Socorro,0.12
137,SeaMonkey,DevTools,0.17
138,SeaMonkey,developer.mozilla.org,0.09
