,Train Project,Test Project,Prediction Score
0,Core,MailNews Core,0.78
1,Core,SeaMonkey,0.86
2,Core,Bugzilla,0.67
3,Core,Firefox,0.89
4,Core,Other Applications,0.72
5,Core,NSS,0.47
6,Core,Calendar,0.75
7,Core,Thunderbird,0.80
8,Core,Marketing,0.95
9,Core,Toolkit,0.91
10,Core,NSPR,0.36
11,Core,mozilla.org,0.97
12,Core,Testing,0.97
13,Core,Firefox Build System,0.94
14,Core,Socorro,0.85
15,Core,DevTools,0.87
16,Core,developer.mozilla.org,0.79
17,Core,Participation Infrastructure,0.95
18,Core,www.mozilla.org,1.00
19,Core,Infrastructure & Operations,0.96
20,Core,Developer Engagement,0.83
21,Core,Enterprise Information Security,1.00
22,Core,Instantbird,0.42
23,Core,Chat Core,0.88
24,Core,Mozilla Foundation Communications,0.94
25,Core,Firefox for Android,0.81
26,Core,Tree Management,0.96
27,Core,Community Building,1.00
28,Core,support.mozilla.org,0.88
29,Core,bugzilla.mozilla.org,0.70
30,Core,Developer Documentation,0.95
31,Core,WebExtensions,0.85
32,Core,Localization Infrastructure and Tools,0.98
33,Core,Cloud Services,0.90
34,Core,Firefox for iOS,0.79
35,Core,Taskcluster,0.93
36,Core,GeckoView,1.00
37,Core,Release Engineering,0.96
38,Core,Data Platform and Tools,1.00
39,Core,Developer Services,0.99
40,Core,Focus-iOS,1.00
41,Core,Webtools,0.91
42,Core,External Software Affecting Firefox,1.00
43,Core,Conduit,0.93
44,Core,Data Science,0.98
45,Core,Shield,0.83
46,Core,Remote Protocol,0.99
47,Core,Testing Graveyard,0.00
48,Core,Camino Graveyard,0.00
49,Core,Core Graveyard,0.33
50,Core,Cloud Services Graveyard,1.00
51,Core,Firefox Graveyard,0.57
52,Core,Add-on SDK Graveyard,1.00
53,Core,Firefox for Android Graveyard,0.00
54,Core,Toolkit Graveyard,0.25
55,Core,Penelope Graveyard,0.00
56,Core,Web Compatibility,1.00
57,Core,Infrastructure & Operations Graveyard,1.00
58,Core,DevTools Graveyard,1.00
59,Core,Testopia,0.75
60,Core,Directory,0.64
61,MailNews Core,Core,0.50
62,MailNews Core,SeaMonkey,0.92
63,MailNews Core,Bugzilla,0.86
64,MailNews Core,Firefox,0.47
65,MailNews Core,Other Applications,0.69
66,MailNews Core,NSS,0.97
67,MailNews Core,Calendar,0.83
68,MailNews Core,Thunderbird,0.93
69,MailNews Core,Marketing,0.37
70,MailNews Core,Toolkit,0.28
71,MailNews Core,NSPR,0.89
72,MailNews Core,mozilla.org,0.28
73,MailNews Core,Testing,0.14
74,MailNews Core,Firefox Build System,0.06
75,MailNews Core,Socorro,0.04
76,MailNews Core,DevTools,0.05
77,MailNews Core,developer.mozilla.org,0.03
78,MailNews Core,Participation Infrastructure,0.09
79,MailNews Core,www.mozilla.org,0.00
80,MailNews Core,Infrastructure & Operations,0.02
81,MailNews Core,Developer Engagement,0.00
82,MailNews Core,Enterprise Information Security,0.00
83,MailNews Core,Instantbird,0.00
84,MailNews Core,Chat Core,0.03
85,MailNews Core,Mozilla Foundation Communications,0.00
86,MailNews Core,Firefox for Android,0.05
87,MailNews Core,Tree Management,0.29
88,MailNews Core,Community Building,0.00
89,MailNews Core,support.mozilla.org,0.00
90,MailNews Core,bugzilla.mozilla.org,0.07
91,MailNews Core,Developer Documentation,0.00
92,MailNews Core,WebExtensions,0.10
93,MailNews Core,Localization Infrastructure and Tools,0.00
94,MailNews Core,Cloud Services,0.05
95,MailNews Core,Firefox for iOS,0.00
96,MailNews Core,Taskcluster,0.08
97,MailNews Core,GeckoView,0.02
98,MailNews Core,Release Engineering,0.04
99,MailNews Core,Data Platform and Tools,0.13
100,MailNews Core,Developer Services,0.00
101,MailNews Core,Focus-iOS,0.00
102,MailNews Core,Webtools,0.24
103,MailNews Core,External Software Affecting Firefox,0.00
104,MailNews Core,Conduit,0.00
105,MailNews Core,Data Science,0.55
106,MailNews Core,Shield,0.00
107,MailNews Core,Remote Protocol,0.05
108,MailNews Core,Testing Graveyard,0.00
109,MailNews Core,Camino Graveyard,0.00
110,MailNews Core,Core Graveyard,0.00
111,MailNews Core,Cloud Services Graveyard,0.00
112,MailNews Core,Firefox Graveyard,0.29
113,MailNews Core,Add-on SDK Graveyard,0.00
114,MailNews Core,Firefox for Android Graveyard,0.00
115,MailNews Core,Toolkit Graveyard,0.00
116,MailNews Core,Penelope Graveyard,0.00
117,MailNews Core,Web Compatibility,0.00
118,MailNews Core,Infrastructure & Operations Graveyard,0.00
119,MailNews Core,DevTools Graveyard,0.00
120,MailNews Core,Testopia,1.00
121,MailNews Core,Directory,1.00
122,SeaMonkey,Core,0.55
123,SeaMonkey,MailNews Core,0.91
124,SeaMonkey,Bugzilla,0.86
125,SeaMonkey,Firefox,0.49
126,SeaMonkey,Other Applications,0.69
127,SeaMonkey,NSS,0.95
128,SeaMonkey,Calendar,0.85
129,SeaMonkey,Thunderbird,0.95
130,SeaMonkey,Marketing,0.63
131,SeaMonkey,Toolkit,0.31
132,SeaMonkey,NSPR,0.89
133,SeaMonkey,mozilla.org,0.22
134,SeaMonkey,Testing,0.20
