,Train Project,Test Project,Prediction Score
0,Core,MailNews Core,0.77
1,Core,SeaMonkey,0.84
2,Core,Bugzilla,0.67
3,Core,Firefox,0.84
4,Core,Other Applications,0.79
5,Core,NSS,0.58
6,Core,Calendar,0.76
7,Core,Thunderbird,0.78
8,Core,Marketing,0.79
9,Core,Toolkit,0.84
10,Core,NSPR,0.33
11,Core,mozilla.org,0.96
12,Core,Testing,0.90
13,Core,Firefox Build System,0.89
14,Core,Socorro,0.71
15,Core,DevTools,0.80
16,Core,developer.mozilla.org,0.72
17,Core,Participation Infrastructure,0.87
18,Core,www.mozilla.org,1.00
19,Core,Infrastructure & Operations,0.86
20,Core,Developer Engagement,0.83
21,Core,Enterprise Information Security,0.73
22,Core,Instantbird,0.58
23,Core,Chat Core,0.85
24,Core,Mozilla Foundation Communications,0.79
25,Core,Firefox for Android,0.80
26,Core,Tree Management,0.89
27,Core,Community Building,1.00
28,Core,support.mozilla.org,0.41
29,Core,bugzilla.mozilla.org,0.65
30,Core,Developer Documentation,0.89
31,Core,WebExtensions,0.72
32,Core,Localization Infrastructure and Tools,0.88
33,Core,Cloud Services,0.74
34,Core,Firefox for iOS,0.77
35,Core,Taskcluster,0.88
36,Core,GeckoView,0.91
37,Core,Release Engineering,0.87
38,Core,Data Platform and Tools,0.96
39,Core,Developer Services,0.91
40,Core,Focus-iOS,0.83
41,Core,Webtools,0.97
42,Core,External Software Affecting Firefox,1.00
43,Core,Conduit,0.42
44,Core,Data Science,1.00
45,Core,Shield,1.00
46,Core,Remote Protocol,0.94
47,Core,Testing Graveyard,0.00
48,Core,Camino Graveyard,0.00
49,Core,Core Graveyard,0.44
50,Core,Cloud Services Graveyard,1.00
51,Core,Firefox Graveyard,0.86
52,Core,Add-on SDK Graveyard,1.00
53,Core,Firefox for Android Graveyard,0.00
54,Core,Toolkit Graveyard,0.25
55,Core,Penelope Graveyard,0.00
56,Core,Web Compatibility,0.00
57,Core,Infrastructure & Operations Graveyard,1.00
58,Core,DevTools Graveyard,0.91
59,Core,Testopia,0.79
60,Core,Directory,0.72
61,MailNews Core,Core,0.67
62,MailNews Core,SeaMonkey,0.70
63,MailNews Core,Bugzilla,0.44
64,MailNews Core,Firefox,0.68
65,MailNews Core,Other Applications,0.50
66,MailNews Core,NSS,0.80
67,MailNews Core,Calendar,0.66
68,MailNews Core,Thunderbird,0.65
69,MailNews Core,Marketing,0.66
70,MailNews Core,Toolkit,0.64
71,MailNews Core,NSPR,0.59
72,MailNews Core,mozilla.org,0.33
73,MailNews Core,Testing,0.69
74,MailNews Core,Firefox Build System,0.59
75,MailNews Core,Socorro,0.52
76,MailNews Core,DevTools,0.57
77,MailNews Core,developer.mozilla.org,0.68
78,MailNews Core,Participation Infrastructure,0.16
79,MailNews Core,www.mozilla.org,1.00
80,MailNews Core,Infrastructure & Operations,0.38
81,MailNews Core,Developer Engagement,0.33
82,MailNews Core,Enterprise Information Security,0.36
83,MailNews Core,Instantbird,0.08
84,MailNews Core,Chat Core,0.37
85,MailNews Core,Mozilla Foundation Communications,0.37
86,MailNews Core,Firefox for Android,0.65
87,MailNews Core,Tree Management,0.70
88,MailNews Core,Community Building,0.00
89,MailNews Core,support.mozilla.org,0.35
90,MailNews Core,bugzilla.mozilla.org,0.72
91,MailNews Core,Developer Documentation,0.84
92,MailNews Core,WebExtensions,0.71
93,MailNews Core,Localization Infrastructure and Tools,0.51
94,MailNews Core,Cloud Services,0.31
95,MailNews Core,Firefox for iOS,0.56
96,MailNews Core,Taskcluster,0.64
97,MailNews Core,GeckoView,0.80
98,MailNews Core,Release Engineering,0.42
99,MailNews Core,Data Platform and Tools,0.83
100,MailNews Core,Developer Services,0.58
101,MailNews Core,Focus-iOS,0.00
102,MailNews Core,Webtools,0.76
103,MailNews Core,External Software Affecting Firefox,0.83
104,MailNews Core,Conduit,0.61
105,MailNews Core,Data Science,0.77
106,MailNews Core,Shield,0.83
107,MailNews Core,Remote Protocol,0.91
108,MailNews Core,Testing Graveyard,0.00
109,MailNews Core,Camino Graveyard,0.67
110,MailNews Core,Core Graveyard,0.61
111,MailNews Core,Cloud Services Graveyard,0.75
112,MailNews Core,Firefox Graveyard,0.86
113,MailNews Core,Add-on SDK Graveyard,1.00
114,MailNews Core,Firefox for Android Graveyard,0.00
115,MailNews Core,Toolkit Graveyard,0.25
116,MailNews Core,Penelope Graveyard,0.75
117,MailNews Core,Web Compatibility,1.00
118,MailNews Core,Infrastructure & Operations Graveyard,0.67
119,MailNews Core,DevTools Graveyard,0.82
120,MailNews Core,Testopia,0.62
121,MailNews Core,Directory,0.52
122,SeaMonkey,Core,0.73
123,SeaMonkey,MailNews Core,0.82
124,SeaMonkey,Bugzilla,0.69
125,SeaMonkey,Firefox,0.72
126,SeaMonkey,Other Applications,0.64
127,SeaMonkey,NSS,0.70
128,SeaMonkey,Calendar,0.76
129,SeaMonkey,Thunderbird,0.86
130,SeaMonkey,Marketing,0.79
131,SeaMonkey,Toolkit,0.65
132,SeaMonkey,NSPR,0.61
133,SeaMonkey,mozilla.org,0.87
134,SeaMonkey,Testing,0.74
135,SeaMonkey,Firefox Build System,0.66
136,SeaMonkey,Socorro,0.54
137,SeaMonkey,DevTools,0.57
138,SeaMonkey,developer.mozilla.org,0.61
139,SeaMonkey,Participation Infrastructure,0.73
140,SeaMonkey,www.mozilla.org,0.77
141,SeaMonkey,Infrastructure & Operations,0.48
142,SeaMonkey,Developer Engagement,1.00
143,SeaMonkey,Enterprise Information Security,0.64
144,SeaMonkey,Instantbird,0.17
145,SeaMonkey,Chat Core,0.65
146,SeaMonkey,Mozilla Foundation Communications,0.57
147,SeaMonkey,Firefox for Android,0.66
148,SeaMonkey,Tree Management,0.64
149,SeaMonkey,Community Building,0.00
150,SeaMonkey,support.mozilla.org,0.24
151,SeaMonkey,bugzilla.mozilla.org,0.48
152,SeaMonkey,Developer Documentation,0.09
153,SeaMonkey,WebExtensions,0.68
154,SeaMonkey,Localization Infrastructure and Tools,0.78
155,SeaMonkey,Cloud Services,0.62
156,SeaMonkey,Firefox for iOS,0.66
157,SeaMonkey,Taskcluster,0.75
158,SeaMonkey,GeckoView,0.64
159,SeaMonkey,Release Engineering,0.80
160,SeaMonkey,Data Platform and Tools,0.63
161,SeaMonkey,Developer Services,0.71
162,SeaMonkey,Focus-iOS,1.00
163,SeaMonkey,Webtools,0.62
164,SeaMonkey,External Software Affecting Firefox,0.33
165,SeaMonkey,Conduit,0.49
166,SeaMonkey,Data Science,0.81
167,SeaMonkey,Shield,1.00
168,SeaMonkey,Remote Protocol,0.95
169,SeaMonkey,Testing Graveyard,0.00
170,SeaMonkey,Camino Graveyard,0.00
171,SeaMonkey,Core Graveyard,0.50
172,SeaMonkey,Cloud Services Graveyard,0.25
