,Train Project,Test Project,Prediction Score
0,Core,MailNews Core,0.75
1,Core,SeaMonkey,0.84
2,Core,Bugzilla,0.68
3,Core,Firefox,0.82
4,Core,Other Applications,0.76
5,Core,NSS,0.58
6,Core,Calendar,0.76
7,Core,Thunderbird,0.79
8,Core,Marketing,0.77
9,Core,Toolkit,0.82
10,Core,NSPR,0.41
11,Core,mozilla.org,0.96
12,Core,Testing,0.89
13,Core,Firefox Build System,0.88
14,Core,Socorro,0.67
15,Core,DevTools,0.78
16,Core,developer.mozilla.org,0.71
17,Core,Participation Infrastructure,0.92
18,Core,www.mozilla.org,1.00
19,Core,Infrastructure & Operations,0.85
20,Core,Developer Engagement,0.83
21,Core,Enterprise Information Security,1.00
22,Core,Instantbird,0.58
23,Core,Chat Core,0.84
24,Core,Mozilla Foundation Communications,0.56
25,Core,Firefox for Android,0.78
26,Core,Tree Management,0.89
27,Core,Community Building,1.00
28,Core,support.mozilla.org,0.35
29,Core,bugzilla.mozilla.org,0.61
30,Core,Developer Documentation,0.85
31,Core,WebExtensions,0.69
32,Core,Localization Infrastructure and Tools,0.88
33,Core,Cloud Services,0.72
34,Core,Firefox for iOS,0.64
35,Core,Taskcluster,0.86
36,Core,GeckoView,0.90
37,Core,Release Engineering,0.89
38,Core,Data Platform and Tools,0.97
39,Core,Developer Services,0.91
40,Core,Focus-iOS,0.83
41,Core,Webtools,0.91
42,Core,External Software Affecting Firefox,1.00
43,Core,Conduit,0.32
44,Core,Data Science,0.98
45,Core,Shield,0.83
46,Core,Remote Protocol,0.96
47,Core,Testing Graveyard,0.00
48,Core,Camino Graveyard,0.00
49,Core,Core Graveyard,0.39
50,Core,Cloud Services Graveyard,1.00
51,Core,Firefox Graveyard,0.71
52,Core,Add-on SDK Graveyard,1.00
53,Core,Firefox for Android Graveyard,0.00
54,Core,Toolkit Graveyard,0.25
55,Core,Penelope Graveyard,0.00
56,Core,Web Compatibility,0.00
57,Core,Infrastructure & Operations Graveyard,1.00
58,Core,DevTools Graveyard,0.91
59,Core,Testopia,0.83
60,Core,Directory,0.76
61,MailNews Core,Core,0.65
62,MailNews Core,SeaMonkey,0.82
63,MailNews Core,Bugzilla,0.63
64,MailNews Core,Firefox,0.65
65,MailNews Core,Other Applications,0.59
66,MailNews Core,NSS,0.88
67,MailNews Core,Calendar,0.75
68,MailNews Core,Thunderbird,0.83
69,MailNews Core,Marketing,0.60
70,MailNews Core,Toolkit,0.53
71,MailNews Core,NSPR,0.80
72,MailNews Core,mozilla.org,0.30
73,MailNews Core,Testing,0.53
74,MailNews Core,Firefox Build System,0.42
75,MailNews Core,Socorro,0.24
76,MailNews Core,DevTools,0.40
77,MailNews Core,developer.mozilla.org,0.48
78,MailNews Core,Participation Infrastructure,0.03
79,MailNews Core,www.mozilla.org,0.77
80,MailNews Core,Infrastructure & Operations,0.27
81,MailNews Core,Developer Engagement,0.33
82,MailNews Core,Enterprise Information Security,0.09
83,MailNews Core,Instantbird,0.00
84,MailNews Core,Chat Core,0.22
85,MailNews Core,Mozilla Foundation Communications,0.13
86,MailNews Core,Firefox for Android,0.47
87,MailNews Core,Tree Management,0.56
88,MailNews Core,Community Building,0.00
89,MailNews Core,support.mozilla.org,0.00
90,MailNews Core,bugzilla.mozilla.org,0.49
91,MailNews Core,Developer Documentation,0.71
92,MailNews Core,WebExtensions,0.55
93,MailNews Core,Localization Infrastructure and Tools,0.39
94,MailNews Core,Cloud Services,0.13
95,MailNews Core,Firefox for iOS,0.25
96,MailNews Core,Taskcluster,0.48
97,MailNews Core,GeckoView,0.61
98,MailNews Core,Release Engineering,0.34
99,MailNews Core,Data Platform and Tools,0.63
100,MailNews Core,Developer Services,0.32
101,MailNews Core,Focus-iOS,0.00
102,MailNews Core,Webtools,0.59
103,MailNews Core,External Software Affecting Firefox,0.83
104,MailNews Core,Conduit,0.32
105,MailNews Core,Data Science,0.66
106,MailNews Core,Shield,0.42
107,MailNews Core,Remote Protocol,0.72
108,MailNews Core,Testing Graveyard,0.00
109,MailNews Core,Camino Graveyard,0.00
110,MailNews Core,Core Graveyard,0.28
111,MailNews Core,Cloud Services Graveyard,0.25
112,MailNews Core,Firefox Graveyard,0.71
113,MailNews Core,Add-on SDK Graveyard,0.00
114,MailNews Core,Firefox for Android Graveyard,0.00
115,MailNews Core,Toolkit Graveyard,0.25
116,MailNews Core,Penelope Graveyard,0.00
117,MailNews Core,Web Compatibility,0.00
118,MailNews Core,Infrastructure & Operations Graveyard,0.67
119,MailNews Core,DevTools Graveyard,0.73
120,MailNews Core,Testopia,0.88
121,MailNews Core,Directory,0.84
122,SeaMonkey,Core,0.69
123,SeaMonkey,MailNews Core,0.89
124,SeaMonkey,Bugzilla,0.81
125,SeaMonkey,Firefox,0.61
126,SeaMonkey,Other Applications,0.69
127,SeaMonkey,NSS,0.87
128,SeaMonkey,Calendar,0.84
129,SeaMonkey,Thunderbird,0.93
130,SeaMonkey,Marketing,0.71
131,SeaMonkey,Toolkit,0.51
132,SeaMonkey,NSPR,0.77
133,SeaMonkey,mozilla.org,0.30
134,SeaMonkey,Testing,0.55
135,SeaMonkey,Firefox Build System,0.43
136,SeaMonkey,Socorro,0.18
137,SeaMonkey,DevTools,0.35
138,SeaMonkey,developer.mozilla.org,0.36
139,SeaMonkey,Participation Infrastructure,0.71
140,SeaMonkey,www.mozilla.org,0.77
141,SeaMonkey,Infrastructure & Operations,0.33
142,SeaMonkey,Developer Engagement,0.33
143,SeaMonkey,Enterprise Information Security,0.36
144,SeaMonkey,Instantbird,0.00
145,SeaMonkey,Chat Core,0.47
146,SeaMonkey,Mozilla Foundation Communications,0.13
147,SeaMonkey,Firefox for Android,0.34
148,SeaMonkey,Tree Management,0.32
149,SeaMonkey,Community Building,0.00
150,SeaMonkey,support.mozilla.org,0.12
151,SeaMonkey,bugzilla.mozilla.org,0.18
152,SeaMonkey,Developer Documentation,0.00
153,SeaMonkey,WebExtensions,0.40
154,SeaMonkey,Localization Infrastructure and Tools,0.37
155,SeaMonkey,Cloud Services,0.28
156,SeaMonkey,Firefox for iOS,0.32
157,SeaMonkey,Taskcluster,0.50
158,SeaMonkey,GeckoView,0.37
159,SeaMonkey,Release Engineering,0.46
160,SeaMonkey,Data Platform and Tools,0.37
161,SeaMonkey,Developer Services,0.56
162,SeaMonkey,Focus-iOS,1.00
163,SeaMonkey,Webtools,0.35
164,SeaMonkey,External Software Affecting Firefox,0.50
165,SeaMonkey,Conduit,0.18
166,SeaMonkey,Data Science,0.74
167,SeaMonkey,Shield,0.67
168,SeaMonkey,Remote Protocol,0.82
169,SeaMonkey,Testing Graveyard,0.00
170,SeaMonkey,Camino Graveyard,0.00
171,SeaMonkey,Core Graveyard,0.17
172,SeaMonkey,Cloud Services Graveyard,0.25
173,SeaMonkey,Firefox Graveyard,0.86
174,SeaMonkey,Add-on SDK Graveyard,1.00
175,SeaMonkey,Firefox for Android Graveyard,1.00
176,SeaMonkey,Toolkit Graveyard,0.00
177,SeaMonkey,Penelope Graveyard,0.00
178,SeaMonkey,Web Compatibility,0.00
179,SeaMonkey,Infrastructure & Operations Graveyard,0.67
180,SeaMonkey,DevTools Graveyard,0.82
181,SeaMonkey,Testopia,0.92
182,SeaMonkey,Directory,0.92
183,Bugzilla,Core,0.65
184,Bugzilla,MailNews Core,0.76
185,Bugzilla,SeaMonkey,0.75
186,Bugzilla,Firefox,0.63
187,Bugzilla,Other Applications,0.49
188,Bugzilla,NSS,0.70
189,Bugzilla,Calendar,0.73
190,Bugzilla,Thunderbird,0.81
191,Bugzilla,Marketing,0.26
192,Bugzilla,Toolkit,0.64
193,Bugzilla,NSPR,0.64
