Core,6125
Firefox,2481
DevTools,2015
Toolkit,1119
Thunderbird,572
Testing,533
Firefox Build System,497
SeaMonkey,462
Bugzilla,361
WebExtensions,351
Infrastructure & Operations,342
MailNews Core,291
Taskcluster,209
Remote Protocol,159
Tree Management,155
bugzilla.mozilla.org,143
Data Platform and Tools,126
Firefox for Android,102
GeckoView,76
Release Engineering,63
Developer Services,57
Socorro,56
Calendar,53
Core Graveyard,49
Cloud Services,45
developer.mozilla.org,43
Infrastructure & Operations Graveyard,36
NSS,36
mozilla.org,36
Conduit,34
Chat Core,32
Developer Documentation,30
Data Science,27
Firefox for iOS,27
Participation Infrastructure,27
Shield,22
Other Applications,21
Localization Infrastructure and Tools,20
Marketing,20
support.mozilla.org,16
Webtools,13
Camino Graveyard,12
DevTools Graveyard,12
Mozilla Foundation Communications,12
NSPR,10
Instantbird,9
www.mozilla.org,9
External Software Affecting Firefox,8
Penelope Graveyard,7
Firefox Graveyard,6
Web Compatibility,5
Enterprise Information Security,4
Cloud Services Graveyard,3
Documentation Graveyard,3
Focus-iOS,3
L20n,3
Developer Engagement,2
Firefox for Android Graveyard,2
Hello (Loop),2
Mozilla Localizations,2
Privacy Graveyard,2
Toolkit Graveyard,2
Add-on SDK Graveyard,1
Community Building,1
Invalid Bugs,1
Mozilla Foundation,1
Snippets,1
Testing Graveyard,1
mozilla.org Graveyard,1
