,id
,1441792
10001,1474985
10002,1212844
10003,1474989
10004,950703
10005,1474991
10006,1343921
10007,1474997
10008,1475004
10009,1081798
10010,1081802
10011,1081806
10012,1081807
10013,295376
10014,1212882
10015,1475033
10016,1475035
10017,1343964
10018,1343981
10019,1475065
10020,1475067
10021,557565
10022,1344000
10023,33282
10024,1081858
10025,1344013
10026,1475088
10027,33296
10028,1475090
10029,1475091
10030,1475097
10031,1344026
10032,1475099
10033,950810
10034,164390
10035,426537
10036,295467
10037,1475124
10038,557621
10039,295483
10040,33339
10041,33340
10042,1212987
10043,1475139
10044,164421
10045,1213004
10046,1344084
10047,1344088
10048,1475162
10049,1344091
10050,1475163
10051,1344094
10052,950879
10053,1475168
10054,1081953
10055,1344098
10056,1344104
10057,1475184
10058,1475187
10059,1475189
10060,1475194
10061,1475197
10062,1344131
10063,1475208
10064,1344139
10065,164491
10066,1475217
10067,819859
10068,1082004
10069,950933
10070,1475221
10071,1475224
10072,1082012
10073,1344158
10074,1344160
10075,426658
10076,1082018
10077,1475236
10078,1475237
10079,1344165
10080,1475240
10081,1082024
10082,1475242
10083,1344170
10084,164521
10085,1082029
10086,1475250
10087,1475252
10088,1082038
10089,1475256
10090,1082040
10091,1082041
10092,1344187
10093,1082043
10094,33469
10095,1344190
10096,1082047
10097,426688
10098,1082048
10099,1082050
10100,1475268
10101,1082055
10102,1082056
10103,1082057
10104,1082058
10105,1475275
10106,1082060
10107,557767
10108,426713
10109,819930
10110,688857
10111,1475290
10112,426727
10113,1344231
10114,426731
10115,426732
10116,1344235
10117,1082098
10118,1344247
10119,426744
10120,426745
10121,1344249
10122,1475331
10123,426759
10124,1475349
10125,1475354
10126,1475355
10127,1475356
10128,1082142
10129,1082143
10130,1082145
10131,1082150
10132,1344295
10133,1344296
10134,557863
10135,1082154
10136,1082156
10137,1344302
10138,164655
10139,1082167
10140,1082169
10141,1344314
10142,1475386
10143,1475407
10144,1475412
10145,1475415
10146,1475417
10147,1082203
10148,688990
10149,1344350
10150,1475424
10151,1344356
10152,1475430
10153,1475432
10154,557929
10155,33641
10156,1213290
10157,1344367
10158,1082239
10159,1475458
10160,1475462
10161,1475464
10162,1344402
10163,689055
10164,1344422
10165,1475499
10166,1344428
10167,1475509
10168,1475510
10169,1475512
10170,951228
10171,1344445
10172,1475518
10173,1475520
10174,689088
10175,1344452
10176,951236
10177,1082310
10178,951248
10179,1475537
10180,1344465
10181,1475541
10182,1475543
10183,1082331
10184,33761
10185,1475556
10186,1475557
10187,1344484
10188,1475562
10189,1475564
10190,1475566
10191,558063
10192,1475571
10193,1344507
10194,1344508
10195,1475583
10196,1475588
10197,1475589
10198,1344519
10199,1344523
10200,295952
10201,1213459
10202,1475606
10203,427045
10204,1213477
10205,1213484
10206,1344561
10207,1475637
10208,371449
10209,1082425
10210,1475641
10211,1475645
10212,1344575
10213,1475648
10214,1475652
10215,1344581
10216,296007
10217,1475670
10218,1475684
10219,1344614
10220,164968
10221,427115
10222,1213548
10223,1475693
10224,1475697
10225,1344626
10226,1475700
10227,1475702
10228,1475705
10229,1475706
10230,1475708
10231,1213569
10232,1344642
10233,1344643
10234,1344641
10235,1344646
10236,1344648
10237,689288
10238,1344652
10239,1475727
10240,1344668
10241,951453
10242,951457
10243,1213601
10244,165025
10245,1344678
10246,1344680
10247,427179
10248,1475760
10249,689328
10250,1344715
10251,165069
10252,1344723
10253,1475799
10254,1475802
10255,1475811
10256,1344749
10257,1344750
10258,1475827
10259,1475828
10260,1475829
10261,1475834
10262,1475836
10263,1344771
10264,1344776
10265,1475849
10266,34058
10267,1344779
10268,1344777
10269,296200
10270,1344786
10271,1082648
10272,820508
10273,1475868
10274,1475869
10275,1475870
10276,1475874
10277,1213732
10278,1213733
10279,1213735
10280,1344809
10281,1475882
10282,1082665
10283,1344812
10284,1344816
10285,1475899
10286,1082687
10287,1475903
10288,1344839
10289,1082698
10290,1344845
10291,1475920
10292,1082712
10293,558429
10294,558431
10295,1082720
10296,1082723
10297,1344869
10298,1475943
10299,1082728
10300,1082730
10301,1475947
10302,165226
10303,558448
10304,165237
10305,1213814
10306,1344888
10307,1475970
10308,1213826
10309,951685
10310,1344909
10311,1082765
10312,1082766
10313,427409
10314,1344914
10315,1344921
10316,1475994
10317,1475998
10318,1082782
10319,427423
10320,1082785
10321,1476002
10322,1213870
10323,1082803
10324,1213875
10325,427445
10326,1082808
10327,427449
10328,427452
10329,1082814
10330,1344959
10331,427455
10332,427461
10333,1082821
10334,1476040
10335,1082825
10336,1476043
10337,1476044
10338,1476047
10339,427471
10340,427474
