,BinaryClass,CosSimilarity,MultiClass,SemSimilarity,req1,req1Id,req1Priority,req1Severity,req1Type,req2,req2Id,req2Priority,req2Severity,req2Type
0,1,0,requires,0,Proxy: map HTTP 500 errors to necko errors (so Internet Keywords and Domain Guessing would work),2875,P3,normal,enhancement,"Read Me file on OS X disc image to explain ""Profile"" files",159248,--,normal,enhancement
1,1,0,requires,0,Proxy: map HTTP 500 errors to necko errors (so Internet Keywords and Domain Guessing would work),2875,P3,normal,enhancement,Remove the XPCOM component registration for audiochannel,1489362,P3,normal,enhancement
0,1,0,similar,0,Proxy: map HTTP 500 errors to necko errors (so Internet Keywords and Domain Guessing would work),2875,P3,normal,enhancement,Export/Import of passwords,436461,--,normal,enhancement
0,1,0,requires,0,Fix incorrectly-written retry loop in nsUnicodeNormalizer,1378683,--,normal,enhancement,[LDAP] Access to a local LDAP server in Off-Line mode,2892,--,normal,enhancement
0,1,0,requires,0,Warnings for USENET etiquette errors required by GNKSA,3746,P5,normal,enhancement,Show an overlay of grid areas in Grid Highlighter,1367627,--,normal,enhancement
0,1,0,requires,0,DNS: Need to query arbitrary DNS record types in Mozilla,545866,P3,normal,enhancement,Warnings for USENET etiquette errors required by GNKSA,3746,P5,normal,enhancement
0,1,0,requires,0,URL linkifying code should cross linebreaks [libmime][mozTXTToHTMLConv],5351,--,normal,enhancement,Check Services.appinfo.is64Bit instead of UA string when disabling AV1-in-MP4 test on Win32,1484720,P3,normal,enhancement
0,1,0,requires,0,WebRender doesn't infer the color for groove / ridge borders,1488294,P1,normal,enhancement,URL linkifying code should cross linebreaks [libmime][mozTXTToHTMLConv],5351,--,normal,enhancement
0,1,0,similar,0,URL linkifying code should cross linebreaks [libmime][mozTXTToHTMLConv],5351,--,normal,enhancement,Web Authn Origin Forgery through IPC,1486598,P3,normal,enhancement
0,1,0,requires,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,Don't block on beforeunload events from third-party tracking domain scripts,1373694,P3,normal,enhancement
0,1,0,requires,0,"Remove support for ""skin"" chrome registration after removing support for complete themes",1385444,P3,normal,enhancement,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement
0,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,tabs.create and windows.create should open about:privatebrowsing instead of about:newtab in PB,1488914,P1,normal,enhancement
1,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,Keep TextOverflows on the stack,1489588,--,normal,enhancement
2,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,Don't block on beforeunload events from third-party tracking domain scripts,1373694,P3,normal,enhancement
3,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,Prepare patches for temporary disabling of launcher process,1495629,P3,normal,enhancement
4,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,"Remove support for ""skin"" chrome registration after removing support for complete themes",1385444,P3,normal,enhancement
5,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,Get rid of nsIDOMCharacterData,1446533,P2,normal,enhancement
6,1,0,similar,0,Automatically update bookmarks when sites move/disappear.,8648,--,normal,enhancement,Add telemetry for when BaseThreadInitThunk gatekeeping blocks a thread,1372827,P3,normal,enhancement
0,1,0,requires,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,Update webrender to 229436b578701fc74a009d6cedc6b2a3ae313f77 (WR PR #3331),1508766,P3,normal,enhancement
0,1,0,requires,0,[remote-dbg-next] migrate aboutdebugging test: browser_addons_reload.js,1500383,P1,normal,enhancement,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement
0,1,0,similar,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,Enable ESLint for netwerk/test/httpserver/,1504323,P2,normal,enhancement
1,1,0,similar,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,"create a copyable read-only ErrorResult to make reporting easier across IPC actors, MozPromise, etc",1357463,P3,normal,enhancement
2,1,0,similar,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,Add instrumentation to collect XBL used on the startup path,1442827,P5,normal,task
3,1,0,similar,0,Allow opening multiple new URLs in new windows at once. (need a way to open many links in new tabs at once),9274,--,normal,enhancement,Bring the tags into our graphs,1501252,P3,normal,enhancement
