header,header_description,ID,description,source,comment,priority
3.1.1,General Functional Requirements,F-100,"The Clarus system shall collect, quality control, and disseminate environmental data.",ConOps §1,“Environmental data” includes all NTCIP 1204 data (summarized in Table 1).,H
3.1.1,General Functional Requirements,F-201,The Clarus system shall be able to access in-situ environmental observations from data collectors.,OCS,Access to data may be conditional based on data sharing agreements to be reached with individual data collector organizations.,H
3.1.1,General Functional Requirements,F-205,The Clarus system shall be able to access remotely sensed environmental observations from data collectors.,OCS,,M
3.1.1,General Functional Requirements,F-207,The Clarus system shall calculate derived environmental data from observations.,OCS,,H
3.1.1,General Functional Requirements,F-211,The Clarus system shall be able to receive roadway weather measurements derived from VII data.,OCS,,M
3.1.1,General Functional Requirements,F-213,The Clarus system shall allow access to new surface transportation related observed environmental data.,"ConOps §1, 2.4, 3.1",Access could only be provided when new data sources are established and available.,L
3.1.1,General Functional Requirements,F-214,The Clarus system shall accept environmental data derived from images.,MHI,“Images” would include CCTV and still images.,H
3.1.1,General Functional Requirements,F-216,The Clarus system shall accept surface condition data derived from surface images.,Task Force review,"“Surface condition data” may include, for example, “dry”, “wet”, “icy”, “snow-covered”, or “flooded”.",H
3.1.1,General Functional Requirements,F-217,The Clarus system shall accept atmospheric condition data derived from atmospheric images.,Task Force review,,H
3.1.1,General Functional Requirements,F-215,"The Clarus system shall accept weather hazard reports containing the hazard type, location, and timeframe.",ConOps §3.5.6.2,,H
3.1.1,General Functional Requirements,F-218,"The Clarus system shall acquire and disseminate National Weather Service (NWS) watches, warnings, and advisories.",Task Force review,,M
3.1.1,General Functional Requirements,F-221,The Clarus system shall be able to retrieve environmental data directly from environmental sensor stations.,Task Force review,The system may have to have its own “collector” component (as shown in Figures 1 and 2) to implement this requirement.,L
3.1.1,General Functional Requirements,F-222,The Clarus system shall minimize the time for data acquisition.,OCS,,H
3.1.1,General Functional Requirements,F-223,The Clarus system shall process data as they are received.,ConOps §3.4.3,,H
3.1.1,General Functional Requirements,F-231,The Clarus system shall collect pavement-related observations.,ConOps §2.5,"“Pavement-related” observations could include precipitation accumulation, flooding or treatments.",H
3.1.1,General Functional Requirements,F-241,The Clarus system shall accept environmental data from railway systems or in situ ESS along tracks.,ConOps §2.5.7,,H
3.1.1,General Functional Requirements,F-245,The Clarus system shall accept environmental data from railroad vehicles.,ConOps §2.5.7,,H
3.1.1,General Functional Requirements,F-251,The Clarus system shall accept environmental data from (roadway) vehicles.,Inferred from ConOps §2.5.x,,H
3.1.1,General Functional Requirements,F-255,The Clarus system shall accept environmental data from maintenance and construction vehicles.,ConOps §2.5.2,,H
3.1.1,General Functional Requirements,F-261,The Clarus system shall accept environmental data from service patrol vehicles.,ConOps §2.5.3,,H
3.1.1,General Functional Requirements,F-271,The Clarus system shall accept environmental data from transit vehicles.,ConOps §2.5.5,“Transit vehicles” include watercraft (ferries) and buses.,H
3.1.1,General Functional Requirements,F-275,The Clarus system shall accept environmental data from emergency vehicles.,ConOps §2.5.6,,H
3.1.1,General Functional Requirements,F-281,The Clarus system shall be able to receive weather data from weather service providers.,ConOps §3.5.1.4,,M
3.1.1,General Functional Requirements,F-101,The Clarus system shall implement continuous quality control processes.,ConOps §2.4,,H
