,SS,label
SubSec 1.,1.,Introduction;
SubSec 1.1,1.1,General
SubSec 1.1.1,1.1.1,This specification has been developed within UIC Project EIRENE. It specifies thefunctional requirements for a digital radio standard for the European railways and ispart of the Technical Specification for Interoperability.
SubSec 1.2,1.2,Scope
SubSec 1.2.1,1.2.1,"The EIRENE Functional Requirements Specification defines the requirements of a radiosystem satisfying the mobile communications needs of the European railways1. Itencompasses ground-train voice and data communications, together with the groundbasedmobile communications needs of trackside workers, station and depot staff andrailway administrative and managerial personnel.National EIRENE networkOther EIRENEnetwork(s)Voice and data communications, eg:- driver- ERTMS/ETCS- other on train users- passenger informationShunting communicationsTrain communicationsWide area communicationsRailway fixednetworkInternational trainsFigure 1-1: Scope of EIRENE"
SubSec 1.2.2,1.2.2,"The scope of this specification is to provide interoperability for trains and staff crossingnational or other borders between systems, and to provide manufacturing economiesof scale wherever practical."
SubSec 1.2.3,1.2.3,The primary objective of this specification is to ensure interoperability alonginternational lines which are generally high speed and cross suburban areas with ahigh level of traffic.
SubSec 1.2.4,1.2.4,It is also important for this specification to provide an appropriate standard for futurereplacement of national radio systems operating on both important internal routes andlow to medium traffic rural areas. It will be determined on a national basis whetherdifferent classes of service need to be defined for such routes.
SubSec 1.3,1.3,Applicability
SubSec 1.3.1,1.3.1,"The EIRENE Functional Requirements Specification defines a set of requirementswhich a railway radio system should comply with, in order to facilitate internationalinteroperability between national railways and manufacturing economies of scale. Thisspecification therefore defines the functional requirements, to ensure that core railwayfunctionality is provided."
SubSec 1.3.2,1.3.2,"The specification distinguishes between the requirements affecting a railway’s networkinfrastructure, onto which mobiles will roam, and the requirements concerningmobiles which will be used in any EIRENE-compliant network."
SubSec 1.3.3,1.3.3,"The statements made in the specification are assigned to one of three categories:- Mandatory (indicated by ‘(M)’ at the end of the paragraph). It is mandatory thateach railway meets these specifications on lines where interoperability is required.- Optional (indicated by ‘(O)’ at the end of the paragraph). Whilst not beingmandatory for interoperability, when the option is selected, the method defined inthe SRS and FRS by which such features are implemented becomes mandatory,both to provide a consistent service and to present a recognised and agreedstandard to manufacturers in order to obtain economies of scale in developmentand manufacture.- Information (indicated by ‘(I)’ at the end of the paragraph). These are statementsintended to provide explanatory notes."
SubSec 1.4,1.4,System overview
SubSec 1.4.1,1.4.1,Extent of specification
SubSec 1.4.1.1,1.4.1.1,"To meet the functionality and performance requirements of EIRENE, the followingsystem services are required:- voice services:- point-to-point voice calls;- public emergency calls;- broadcast voice calls;- group voice calls;- multi-party voice calls;"
SubSec 1.4.1.2,1.4.1.2,The environmental specification for each type of EIRENE mobile equipment is alsodefined in sections 4 through 8.
SubSec 1.4.1.3,1.4.1.3,"Reliability, availability and maintainability requirements on the network and themobile equipment are given."
SubSec 1.4.1.4,1.4.1.4,The specification also provides core functional requirements for the controller position.
SubSec 1.4.1.5,1.4.1.5,A railway mobile telephony network may be required to have interfaces to:- private railway networks;- public operator networks;- controller equipment;- specialised railway systems (eg train control systems).
SubSec 1.4.2,1.4.2,Bearer service for external applications
SubSec 1.4.2.1,1.4.2.1,It shall be possible for applications external to EIRENE to access EIRENE bearerservices.
SubSec 1.4.2.2,1.4.2.2,EIRENE will provide the radio bearer for ERTMS/ETCS. The EURORADIO layers areresponsible for ensuring the overall safety of the transmission link between trainborneand trackside ERTMS/ETCS applications.
SubSec 1.4.2.3,1.4.2.3,Other applications for which EIRENE will provide the bearer service may include:- public address system;- on-train intercom;- driver safety device;- train-borne recorder.
SubSec 1.5,1.5,Structure of the specification
SubSec 1.5.1,1.5.1,The specification is divided into separate sections:
SubSec 10.,10.,Subscriber management;
SubSec 10.1,10.1,Introduction
SubSec 10.1.1,10.1.1,"In order to provide a consistent level of service in each railway network and, inparticular, to ensure interoperability for train drivers and other users roaming betweennetworks, it is important to harmonise subscription details and other informationstored in the network. (I)"
SubSec 10.1.2,10.1.2,"For the purposes of defining common subscription profiles, a number of subscriptiontypes might be used, for example: (I)- Cab radio;- on-train radio;- controller;- trackside worker;- general staff;- data services;- administration/management."
SubSec 10.2,10.2,Allocation of priorities
SubSec 10.2.1,10.2.1,A number of levels of priority shall be required in order to offer different grades ofservice to different users and calls. Five levels of priority shall be defined: (M)- Railway emergency;- control-command (safety);- public emergency and group calls between drivers in the same area;- railway operation;- railway information.
SubSec 10.2.2,10.2.2,"In order to provide interoperability, priorities shall be allocated consistently across allEIRENE networks, as shown in the following table. (M)"
SubSec 10.2.3,10.2.3,The lowest priority ongoing call shall be pre-empted before that of a higher priority.(M)
SubSec 10.2.4,10.2.4,"In the case where an EIRENE mobile attempts to make a Railway emergency call over apublic network, the ability to pre-empt lower priority calls (particularly publicemergency calls) may be inhibited, unless a special agreement is in place. (I)"
SubSec 10.3,10.3,Call restriction
SubSec 10.3.1,10.3.1,Various types of call restriction may be employed by the railways as an additionalsecurity measure. Such facilities may be particularly important if public network accessto the radio system is provided (eg to prevent members of the public calling driversand drivers calling members of the public). (O)
SubSec 10.3.2,10.3.2,Any implementation of such call restrictions shall not affect internationalinteroperability. (M)
SubSec 10.4,10.4,Group membership
SubSec 10.4.1,10.4.1,A mobile may be a member of a number of groups. It shall be possible to ‘activate’ or‘deactivate’ the mobile’s subscription to these groups. (M)
SubSec 10.4.2,10.4.2,Activating a group on the mobile shall allow a user to receive a call from that group.(M)
SubSec 10.4.3,10.4.3,Deactivating a group on the mobile shall prevent a user receiving calls from thatgroup. (M)
SubSec 10.4.4,10.4.4,"In order to provide interoperability, Cab radios will be members of a number ofstandard groups:- Railway emergency call; (M)- ‘all train drivers’; (M)- shunting team; (M)- trackside worker. (O)"
SubSec 10.4.5,10.4.5,All mobiles with Railway emergency group call subscription(s) shall be preventedfrom deactivating the emergency group(s) whilst operational. (M)
SubSec 10.5,10.5,Network selection list
