requirement,description,details
3.1,Channel Selection Menu,"G7 will need a new menu option called “Push to talk” located at the top of the main menu.Selecting this will bring the user to a new push to talk menu. The menu will have numbers listedfrom 1 to 9. At the top there will be a “None” option. At the bottom of the list will be channel thatsays will say “All-call”.Like all menus on the G7, the arrow buttons will highlight the rows. If a user presses OK while arow is highlighted, they will be transitioned to a new screen that says “Selecting channel. Pleasewait...”. Once G7 hears back from the server that the channel is selected, the screen will confirmthe selection by showing the PTT icon with the channel below it for 2 seconds. Then it will goback to the PTT menu.* Now the highlighted row will have the word “Selected” after the number.For example “1 - Selected”.Once a channel is selected, the user will receive all PTT communications from this channel.The “None” channel is the default. Once a channel is selected, power cycling will not reset orremove the selected channel for a particular G7.*There will be edge cases where the device doesn’t hear back from the server or gets a NAK.Let the UX team know about these and we’ll come up with some user digestible way ofdisplaying negative paths."
3.2,All-call,"“All-call” is the name of a special channel that can be selected by the device user. This channelis accessible in the same way the other numbered channels, from the device PTT menu. Theall-call channel can be thought of as the announcement or broadcast channel. When a devicehas the all-call channel selected, all of its transmissions will be heard by all devices in theorganization, regardless of their channel selection.a) A device can’t select all-call and a numbered channel at the same time. Only onechannel can be selected at a time. This goes for numbered channels as well.b) If for example a device is set to channel 2, they will hear channel 2 conversations as wellas all-call broadcasts. When they transmit, only other devices on channel 2 will hear thetransmission.c) A device can not turn off the ability to listen to the all-call channel.d) There is no restriction on the number of devices that can be on the all-call channel atone time.e) Example: If an organization has tentwo devices and all ten of them are on all-call, thenall of the devices will transmit to the entire group. If Joe switches to channel 2, none ofthe remaining nine will hear Joe’s transmissions. Joe will however here any transmissionfrom the remaining nine still on all-call."
3.3,Channel “None”,"If a user has selected none, they will not hear transmissions from any numbered channel. Theywill hear traffic from the all-call channel only. They will be unable to transmit to any channel."
3.4,Buttons and Beeping,PTT will have a hardware button for initiating an outgoing audio transmission.Pressing and holding the mapped PTT button will start an audio transmission. The user needsto hold down the button while talking. Once the user is done with their transition they will releasethe mapped button.We want to keep these delays to a minimum so that the user feels the transition betweenpressing and starting to talk is fast. (see functional requirements)The beep sounds will bookend transmissions start and stop (tri-pulse). Receptions will also bebookended with a different sound (mono-pulse). The transmission sound needs to be uniquebecause users will want to know if they are accidentally transmitting. Reception sounds areunique so that users don’t need to say 10-4. This beeping should be parameterized on the FW.Some users will want to disable one or the other beeping sounds.
3.5,Transmission Display,While pressing the PTT button the LCD will display the PTT icon with the channel informationbelow it. For example “Channel 7”. When all-call is selected it will say “All-call” (I haven’tupdated the graphic below with the dash). When “None” is selected it will say “No channelselected”.
3.6,Transmission Timeout,"The maximum time for a PTT transmission will be 30 seconds. After that, the device will beepand automatically end the transmission. The user will need to release then repress the mappedbutton to start another transmission."
3.7,Priority,"Some sounds will be muted during an audio transmission and some will not. The PTTfunctionality will use the same rules as a voice call. For example, (if I recall correctly) a high/OLgas alert will trump a voice call where as a warning alarm will not.Incoming PTT transmissions will be played at the same time as alarm sounds. The incomingtransmission will likely be unintelligible because of the overlapped alarm, but the user will knowthat they missed a transmission. All gas readings and sensors still need to be active during allPTT transactions.After some discussion it was decided that PTT will be disabled if the device is making noisesdue to being in alarm/alert. Once the device stops making noises PTT will be enabled. Analarm/alert does not have to be resolved just the noise from it has to be muted in order for PTTto work.Voice calls trump and mute all PTT transactions.When two transmissions arrive at the device in unison, ideally they will be played at the sametime. Both incoming transmission will likely be unintelligible but the user will know that two ormore people on the channel where talking at the same time.This needs to change so that the first person to grab the channel gets to transmit on it. Theserver decides who has the channel by the detecting data from a device. The server will alsohave to have some mechanism such as a timeout to release the channel (firmware will includelast message in transmission as well)When a user is recording an outgoing transmission, incoming transmissions should be muted.That’s how radios work.Commented [1]: how does this interact with an all-calltransmission? does an all-call interrupt all activetransmissions on numbered channels? or if numberedchannels have priority, does the transmission to the all-call channel fail if any numbered channel is active?Commented [2]: From discussion with Phil an All Callis not a high priority channel. It will obey the same rulesas any channel. Some devices might not receive the allcall if they have pending rx audio when the All Call istriggeredCommented [3]: Added linkWith our current design, if you are on a channel that has currently been seized by a device youwill not be able to transmit until the other device finishes. An error should be raised to user toindicate you can't transmit. You will hear the message being transmitted on seized channelHigh level server to device sequence diagrams are available here:<https://drive.google.com/drive/u/0/folders/0B-xlwCweOpbob0dpMXNVTmU0VDA?ths=true>"
3.8,Start Up,"On power up we will have a new functional settings icon with the text “Push to talk”. It shouldalso indicate the button mapping, the same way it does for SOS and Silent SOS. It will getcomplicated with multiple buttons mapped, but we’ll cross that bridge when we get to it. Wemight not even need to deal with it because for the initial implementation we’ll be veryprescriptive about which buttons are mapped with PTT."
3.9,Info Bar,"On the normal operation screen we will show which channel the device is set on. This will bedisplayed between the battery icon and the check-in countdown timer. There will be a “ch.”followed by the channel number. For example “ch.5”. The all-call channel will be “ch.AC”.a) All PTT functionality: A device can have all PTT functionality disabled. Nothing will beshown in the menu. They will not hear the all-call transmissions.b) Displaying the PTT menu: A device can hear the all-call channel but they cannot seethe PTT menu or select a channel. They will still have the “Push to talk” feature icon onstart up.c) Ability to select all-call channel: A device can hear the all-call channel, see the PTTmenu, select None and channels 1-9. They can not select all-call.d) Toggle on/off the transmit beeps: Ability to turn off the beeps that bookendtransmission from the device.e) Toggle on/off the receive transmission beeps: Ability to turn off the beeps thatbookend receiving a transmission from the device.f) Button mapping: Parameterize all button mapping. Any device initiated function (PTT,SOS, Silent SOS or Early Check-in) could be mapped to any button (up arrow, downarrow, OK, latch push, latch pull). Exceptions being that PTT doesn’t make sense forlatch pull and no functions can be mapped to the power button. Only one buttonmappable function can be mapped to a button at one time, however the same functioncan be mapped to multiple buttons.g) Channel selection: Ability to configure which devices have access to which channels.Not all devices can have access to all channels.h) Custom channel naming: From the portal, channels can be given short custom names.These names will also show up on the device."
3.10,Volume,"We don’t want users to have to alter the volume from their device it we can help it. We alsodon’t want this to be a configuration setting if we can help it. The goal is to make this similar tovoice calling, we set a volume and it works great. For development maybe this is a menuparameter, I’ll leave that to FW."
